customer_id,first_year,first_store,zip_code,dm,sex,birth_age,comment,morning_count_weekday,evening_count_weekday,night_count_weekday,morning_count_holiday,evening_count_holiday,night_count_holiday,remake_count,total_item_money,visit_interval,cluster_id
1,2003.0,3,1770035.0,許可,女性,1970.0,,0,1,0,0,0,0,0,0,,0
2,2003.0,3,1700002.0,許可,女性,1940.0,,0,3,1,0,0,4,0,0,89.0,1
3,2003.0,3,3540041.0,許可,女性,1970.0,,0,2,1,0,1,0,0,5616,197.0,0
4,2003.0,3,1150055.0,許可,男性,1970.0,,0,6,1,0,4,1,0,20736,64.0,0
5,2003.0,3,1790081.0,拒否,女性,1960.0,,0,2,0,0,1,1,0,0,55.0,0
6,2003.0,3,1760024.0,許可,女性,,,1,2,0,0,1,0,0,5940,119.0,0
7,2003.0,3,1140034.0,許可,女性,1960.0,,2,8,3,0,5,7,0,3672,29.0,0
8,2003.0,3,1880012.0,許可,女性,1960.0,,0,4,0,0,3,5,0,45684,61.0,1
9,2003.0,3,2750016.0,拒否,女性,1970.0,,1,1,0,2,2,0,0,1944,65.0,3
10,2003.0,3,1140034.0,許可,女性,,,0,1,1,0,0,0,0,5616,74.0,2
11,2003.0,3,1730004.0,許可,男性,1980.0,,0,1,0,0,0,0,0,0,,0
12,2003.0,3,1550033.0,許可,男性,1960.0,,0,1,16,0,0,5,0,7776,33.0,2
13,2003.0,3,1460094.0,許可,女性,1970.0,,3,3,0,0,2,0,0,6912,96.0,0
14,2003.0,3,1730003.0,許可,女性,1980.0,,0,4,2,0,0,1,0,57780,120.0,0
15,2003.0,3,2250024.0,拒否,男性,,,5,1,0,0,1,1,0,1944,81.0,1
16,2003.0,3,1130031.0,拒否,男性,,,0,1,0,1,0,0,0,0,90.0,0
17,2003.0,3,2400003.0,許可,女性,1970.0,,0,0,1,0,0,0,0,0,,2
18,2003.0,3,1200046.0,許可,女性,1960.0,,0,4,1,0,3,1,0,21600,77.0,0
19,2003.0,3,2010005.0,許可,女性,,,2,0,0,0,0,0,0,10800,294.0,1
20,2003.0,3,2060824.0,許可,女性,,,0,1,3,0,0,2,0,13392,120.0,2
21,2003.0,3,1730031.0,拒否,女性,,,0,2,0,0,0,0,0,0,84.0,0
22,2003.0,3,1500001.0,許可,男性,,,1,8,1,0,0,0,0,0,72.0,0
23,2003.0,3,2140023.0,許可,女性,1970.0,,0,4,3,0,1,1,0,20736,88.0,0
24,2003.0,3,1450066.0,許可,女性,,,0,0,0,0,1,0,0,12204,,3
25,2003.0,3,1700014.0,許可,男性,,,1,11,4,0,1,0,0,54864,44.0,0
26,2003.0,3,1710033.0,許可,女性,,,1,1,0,0,1,0,0,0,29.0,3
27,2003.0,3,1740044.0,許可,女性,1960.0,,0,3,3,0,3,4,0,0,54.0,2
28,2003.0,3,,許可,女性,1970.0,,0,3,0,0,6,2,0,52380,65.0,3
29,2003.0,3,2720104.0,許可,男性,,,1,1,0,0,0,0,0,0,63.0,0
30,2003.0,3,2701337.0,許可,男性,1980.0,,0,0,2,0,0,3,0,0,153.0,1
31,2003.0,3,1750094.0,許可,女性,,,0,0,0,0,1,0,0,0,,3
32,2003.0,3,1310032.0,許可,女性,,,0,3,0,1,0,0,0,2808,28.0,0
33,2003.0,3,1740065.0,許可,女性,1960.0,,0,0,0,0,5,0,0,10800,159.0,3
34,2003.0,3,1640012.0,許可,男性,1970.0,,0,2,1,0,1,3,0,4536,55.0,1
35,2003.0,3,1680072.0,許可,女性,1970.0,,1,2,0,0,3,0,0,0,131.0,3
36,2003.0,3,2610026.0,拒否,女性,1970.0,,0,4,1,3,3,5,0,9396,38.0,1
37,2007.0,3,1140034.0,許可,女性,,,0,6,0,0,5,0,0,5616,65.0,0
38,2003.0,3,1530052.0,許可,女性,1970.0,,0,4,2,0,1,0,0,10584,102.0,0
39,2003.0,3,1710044.0,許可,男性,1970.0,,0,4,14,0,1,7,0,0,28.0,2
40,2003.0,3,1730016.0,許可,女性,1960.0,,0,1,0,0,0,0,0,0,,0
41,2003.0,3,1710021.0,許可,男性,1970.0,,1,3,1,1,0,1,0,0,98.0,0
42,2003.0,3,2040003.0,許可,女性,,,0,0,0,1,11,0,0,3888,62.0,3
43,2003.0,3,1640012.0,拒否,男性,1980.0,,0,1,0,0,1,0,0,0,355.0,3
44,2003.0,3,1760002.0,許可,女性,1970.0,,1,2,4,0,5,7,0,31320,39.0,1
45,2003.0,3,1140034.0,許可,女性,1970.0,,0,3,0,0,0,0,0,0,164.0,0
46,2003.0,3,1710022.0,許可,女性,1950.0,,0,1,1,0,1,0,0,0,287.0,3
47,2003.0,3,1740071.0,許可,男性,1970.0,,0,4,2,0,2,3,0,1944,70.0,0
48,2003.0,3,3350002.0,許可,女性,1980.0,,0,0,1,0,2,1,0,2808,219.0,3
49,2003.0,3,1790074.0,許可,女性,1970.0,,0,3,0,0,1,0,0,0,154.0,0
