customer_id,zipcode,lon,lat,station_cd,station_name,line_name,line_cd,l,m,s,dist
1,1770035,139.61832,35.73137,2200711,井荻,西武新宿線,22007,東京都,練馬区,南田中,0.007329712750165783
2,1700002,139.73482,35.73416,9930315,巣鴨,都営三田線,99303,東京都,豊島区,巣鴨,0.003757068671168768
3,3540041,139.53358,35.83451,2100117,鶴瀬,東武東上線,21001,埼玉県,入間郡三芳町,藤久保,0.012656265049369167
4,1150055,139.71985,35.77301,1131903,赤羽,宇都宮線,11319,東京都,北区,赤羽西,0.0051305301870206545
4,1150055,139.71985,35.77301,1132108,赤羽,JR埼京線,11321,東京都,北区,赤羽西,0.0051305301870206545
4,1150055,139.71985,35.77301,1132303,赤羽,JR高崎線,11323,東京都,北区,赤羽西,0.0051305301870206545
4,1150055,139.71985,35.77301,1133210,赤羽,JR京浜東北線,11332,東京都,北区,赤羽西,0.0051305301870206545
4,1150055,139.71985,35.77301,1133302,赤羽,JR湘南新宿ライン,11333,東京都,北区,赤羽西,0.0051305301870206545
5,1790081,139.65192,35.75903,2800604,平和台,東京メトロ有楽町線,28006,東京都,練馬区,北町,0.002180562542107977
5,1790081,139.65192,35.75903,2801004,平和台,東京メトロ副都心線,28010,東京都,練馬区,北町,0.002180562542107977
6,1760024,139.64359,35.7323,2200107,中村橋,西武池袋線,22001,東京都,練馬区,中村,0.00758815161946706
7,1140034,139.72026,35.7592,1132107,十条,JR埼京線,11321,東京都,北区,上十条,0.0022692223337445537
8,1880012,139.54707,35.72437,2200716,西武柳沢,西武新宿線,22007,東京都,西東京市,南町,0.006877982989233144
9,2750016,140.02486,35.6894,9932902,新津田沼,新京成線,99329,千葉県,習志野市,津田沼,0.0013630410852214577
10,1140034,139.72026,35.7592,1132107,十条,JR埼京線,11321,東京都,北区,上十条,0.0022692223337445537
11,1730004,139.71381,35.75182,9930318,板橋区役所前,都営三田線,99303,東京都,板橋区,板橋,0.0037465397368668255
12,1550033,139.66281,35.65271,2500108,世田谷代田,小田急線,25001,東京都,世田谷区,代田,0.005767747307232666
