customer_id,first_year,first_store,zip_code,dm,sex,birth_age,comment,morning_count_weekday,evening_count_weekday,night_count_weekday,morning_count_holiday,evening_count_holiday,night_count_holiday,remake_count,total_item_money,visit_interval
1,2003,3,1770035,許可,女性,1970,NA,0,1,0,0,0,0,0,0,NA
2,2003,3,1700002,許可,女性,1940,NA,0,3,1,0,0,4,0,0,89
3,2003,3,3540041,許可,女性,1970,NA,0,2,1,0,1,0,0,5616,197
4,2003,3,1150055,許可,男性,1970,NA,0,6,1,0,4,1,0,20736,64
5,2003,3,1790081,拒否,女性,1960,NA,0,2,0,0,1,1,0,0,55
6,2003,3,1760024,許可,女性,NA,NA,1,2,0,0,1,0,0,5940,119
7,2003,3,1140034,許可,女性,1960,NA,2,8,3,0,5,7,0,3672,29
8,2003,3,1880012,許可,女性,1960,NA,0,4,0,0,3,5,0,45684,61
9,2003,3,2750016,拒否,女性,1970,NA,1,1,0,2,2,0,0,1944,65
10,2003,3,1140034,許可,女性,NA,NA,0,1,1,0,0,0,0,5616,74
11,2003,3,1730004,許可,男性,1980,NA,0,1,0,0,0,0,0,0,NA
12,2003,3,1550033,許可,男性,1960,NA,0,1,16,0,0,5,0,7776,33
13,2003,3,1460094,許可,女性,1970,NA,3,3,0,0,2,0,0,6912,96
14,2003,3,1730003,許可,女性,1980,NA,0,4,2,0,0,1,0,57780,120
15,2003,3,2250024,拒否,男性,NA,NA,5,1,0,0,1,1,0,1944,81
16,2003,3,1130031,拒否,男性,NA,NA,0,1,0,1,0,0,0,0,90
17,2003,3,2400003,許可,女性,1970,NA,0,0,1,0,0,0,0,0,NA
18,2003,3,1200046,許可,女性,1960,NA,0,4,1,0,3,1,0,21600,77
19,2003,3,2010005,許可,女性,NA,NA,2,0,0,0,0,0,0,10800,294
20,2003,3,2060824,許可,女性,NA,NA,0,1,3,0,0,2,0,13392,120
21,2003,3,1730031,拒否,女性,NA,NA,0,2,0,0,0,0,0,0,84
22,2003,3,1500001,許可,男性,NA,NA,1,8,1,0,0,0,0,0,72
23,2003,3,2140023,許可,女性,1970,NA,0,4,3,0,1,1,0,20736,88
24,2003,3,1450066,許可,女性,NA,NA,0,0,0,0,1,0,0,12204,NA
25,2003,3,1700014,許可,男性,NA,NA,1,11,4,0,1,0,0,54864,44
26,2003,3,1710033,許可,女性,NA,NA,1,1,0,0,1,0,0,0,29
27,2003,3,1740044,許可,女性,1960,NA,0,3,3,0,3,4,0,0,54
28,2003,3,NA,許可,女性,1970,NA,0,3,0,0,6,2,0,52380,65
29,2003,3,2720104,許可,男性,NA,NA,1,1,0,0,0,0,0,0,63
30,2003,3,2701337,許可,男性,1980,NA,0,0,2,0,0,3,0,0,153
31,2003,3,1750094,許可,女性,NA,NA,0,0,0,0,1,0,0,0,NA
32,2003,3,1310032,許可,女性,NA,NA,0,3,0,1,0,0,0,2808,28
33,2003,3,1740065,許可,女性,1960,NA,0,0,0,0,5,0,0,10800,159
34,2003,3,1640012,許可,男性,1970,NA,0,2,1,0,1,3,0,4536,55
35,2003,3,1680072,許可,女性,1970,NA,1,2,0,0,3,0,0,0,131
36,2003,3,2610026,拒否,女性,1970,NA,0,4,1,3,3,5,0,9396,38
37,2007,3,1140034,許可,女性,NA,NA,0,6,0,0,5,0,0,5616,65
38,2003,3,1530052,許可,女性,1970,NA,0,4,2,0,1,0,0,10584,102
39,2003,3,1710044,許可,男性,1970,NA,0,4,14,0,1,7,0,0,28
40,2003,3,1730016,許可,女性,1960,NA,0,1,0,0,0,0,0,0,NA
41,2003,3,1710021,許可,男性,1970,NA,1,3,1,1,0,1,0,0,98
42,2003,3,2040003,許可,女性,NA,NA,0,0,0,1,11,0,0,3888,62
43,2003,3,1640012,拒否,男性,1980,NA,0,1,0,0,1,0,0,0,355
44,2003,3,1760002,許可,女性,1970,NA,1,2,4,0,5,7,0,31320,39
45,2003,3,1140034,許可,女性,1970,NA,0,3,0,0,0,0,0,0,164
46,2003,3,1710022,許可,女性,1950,NA,0,1,1,0,1,0,0,0,287
47,2003,3,1740071,許可,男性,1970,NA,0,4,2,0,2,3,0,1944,70
48,2003,3,3350002,許可,女性,1980,NA,0,0,1,0,2,1,0,2808,219
49,2003,3,1790074,許可,女性,1970,NA,0,3,0,0,1,0,0,0,154
50,2003,3,1140023,許可,女性,1970,NA,0,1,0,0,2,1,0,0,22
51,2003,3,1120014,許可,女性,NA,NA,0,5,0,0,1,0,0,0,121
52,2003,3,1140002,許可,女性,NA,NA,0,0,0,1,0,0,0,0,NA
