customer_id,first_year,first_store,zip_code,dm,sex,birth_age,comment,morning_count_weekday,evening_count_weekday,night_count_weekday,morning_count_holiday,evening_count_holiday,night_count_holiday,remake_count,total_item_money,visit_interval,cluster_id
1,2003.0,3,1770035.0,許可,女性,1970.0,,0,1,0,0,0,0,0,0,,0
2,2003.0,3,1700002.0,許可,女性,1940.0,,0,3,1,0,0,4,0,0,89.0,0
3,2003.0,3,3540041.0,許可,女性,1970.0,,0,2,1,0,1,0,0,5616,197.0,0
4,2003.0,3,1150055.0,許可,男性,1970.0,,0,6,1,0,4,1,0,20736,64.0,2
5,2003.0,3,1790081.0,拒否,女性,1960.0,,0,2,0,0,1,1,0,0,55.0,0
6,2003.0,3,1760024.0,許可,女性,,,1,2,0,0,1,0,0,5940,119.0,0
7,2003.0,3,1140034.0,許可,女性,1960.0,,2,8,3,0,5,7,0,3672,29.0,3
8,2003.0,3,1880012.0,許可,女性,1960.0,,0,4,0,0,3,5,0,45684,61.0,2
9,2003.0,3,2750016.0,拒否,女性,1970.0,,1,1,0,2,2,0,0,1944,65.0,0
10,2003.0,3,1140034.0,許可,女性,,,0,1,1,0,0,0,0,5616,74.0,0
11,2003.0,3,1730004.0,許可,男性,1980.0,,0,1,0,0,0,0,0,0,,0
12,2003.0,3,1550033.0,許可,男性,1960.0,,0,1,16,0,0,5,0,7776,33.0,1
13,2003.0,3,1460094.0,許可,女性,1970.0,,3,3,0,0,2,0,0,6912,96.0,0
14,2003.0,3,1730003.0,許可,女性,1980.0,,0,4,2,0,0,1,0,57780,120.0,0
15,2003.0,3,2250024.0,拒否,男性,,,5,1,0,0,1,1,0,1944,81.0,0
16,2003.0,3,1130031.0,拒否,男性,,,0,1,0,1,0,0,0,0,90.0,0
17,2003.0,3,2400003.0,許可,女性,1970.0,,0,0,1,0,0,0,0,0,,0
18,2003.0,3,1200046.0,許可,女性,1960.0,,0,4,1,0,3,1,0,21600,77.0,2
19,2003.0,3,2010005.0,許可,女性,,,2,0,0,0,0,0,0,10800,294.0,0
20,2003.0,3,2060824.0,許可,女性,,,0,1,3,0,0,2,0,13392,120.0,1
21,2003.0,3,1730031.0,拒否,女性,,,0,2,0,0,0,0,0,0,84.0,0
22,2003.0,3,1500001.0,許可,男性,,,1,8,1,0,0,0,0,0,72.0,3
23,2003.0,3,2140023.0,許可,女性,1970.0,,0,4,3,0,1,1,0,20736,88.0,1
24,2003.0,3,1450066.0,許可,女性,,,0,0,0,0,1,0,0,12204,,0
25,2003.0,3,1700014.0,許可,男性,,,1,11,4,0,1,0,0,54864,44.0,3
26,2003.0,3,1710033.0,許可,女性,,,1,1,0,0,1,0,0,0,29.0,0
27,2003.0,3,1740044.0,許可,女性,1960.0,,0,3,3,0,3,4,0,0,54.0,1
28,2003.0,3,,許可,女性,1970.0,,0,3,0,0,6,2,0,52380,65.0,2
29,2003.0,3,2720104.0,許可,男性,,,1,1,0,0,0,0,0,0,63.0,0
30,2003.0,3,2701337.0,許可,男性,1980.0,,0,0,2,0,0,3,0,0,153.0,0
